Count,Statename,Districtname,Subdistrictname,Blockname,Healthblockname,Healthfacilitytype,Facilityname,Nin,Functionality of Facilities
8545,Odisha,Anugul,Anugul,Notmapped,Notmapped,UPHC,UPHC Angul,2488842150,
8545,Odisha,Anugul,Athmallik,Athmallik,Athamallik,Community Health Centre,MADHAPUR,7324817373,
8545,Odisha,Anugul,Athmallik,Athmallik,Athamallik,Health Sub Centre,Aida,8546728653,
8545,Odisha,Anugul,Athmallik,Athmallik,Athamallik,Health Sub Centre,Kaintragarh,1742153511,
8545,Odisha,Anugul,Athmallik,Athmallik,Athamallik,Health Sub Centre,Kampala,3221416526,
8545,Odisha,Anugul,Athmallik,Athmallik,Athamallik,Health Sub Centre,Kuteswar,3342861782,
8545,Odisha,Anugul,Athmallik,Athmallik,Athamallik,Health Sub Centre,Luhasingha,3543778355,
8545,Odisha,Anugul,Athmallik,Athmallik,Athamallik,Health Sub Centre,Lunahandi,4285254845,
8545,Odisha,Anugul,Athmallik,Athmallik,Athamallik,Health Sub Centre,Madhapur,8845614331,
8545,Odisha,Anugul,Athmallik,Athmallik,Athamallik,Health Sub Centre,Mahendrapur,3286578723,
8545,Odisha,Anugul,Athmallik,Athmallik,Athamallik,Health Sub Centre,Purunamantri,4567624384,
8545,Odisha,Anugul,Athmallik,Athmallik,Athamallik,Primary Health Centre,Pataka,1188747362,
8545,Odisha,Anugul,Athmallik,Notmapped,Notmapped,Sub District Hospital,Athmallik,4777224819,
8545,Odisha,Anugul,Banarpal,Banarpal,Banarpal,Community Health Centre,BANARPAL,7352515139,
8545,Odisha,Anugul,Banarpal,Banarpal,Banarpal,Health Sub Centre,Balaramprasad,1821412317,
8545,Odisha,Anugul,Banarpal,Banarpal,Banarpal,Health Sub Centre,Banarpal,4763526482,
8545,Odisha,Anugul,Banarpal,Banarpal,Banarpal,Health Sub Centre,Budhapanka,4214278477,
8545,Odisha,Anugul,Banarpal,Banarpal,Banarpal,Health Sub Centre,Fulpada,2613165717,
8545,Odisha,Anugul,Banarpal,Banarpal,Banarpal,Health Sub Centre,Garhsantri,4157363880,
8545,Odisha,Anugul,Banarpal,Banarpal,Banarpal,Health Sub Centre,Mahidharapur,8861416389,
8545,Odisha,Anugul,Banarpal,Banarpal,Banarpal,Health Sub Centre,Nuahata,6562118213,
8545,Odisha,Anugul,Banarpal,Banarpal,Banarpal,Health Sub Centre,Pingua,1122585233,
8545,Odisha,Anugul,Banarpal,Banarpal,Banarpal,Health Sub Centre,Rankasinga,4631486851,
8545,Odisha,Anugul,Banarpal,Banarpal,Banarpal,Health Sub Centre,Talmul,8832437555,
8545,Odisha,Anugul,Banarpal,Banarpal,Banarpal,Health Sub Centre,Tulasipal,2822862781,
8545,Odisha,Anugul,Banarpal,Banarpal,Banarpal,Primary Health Centre,Balaramprasad,2534474677,
8545,Odisha,Anugul,Banarpal,Banarpal,Banarpal,Primary Health Centre,Talmul,2388285575,
8545,Odisha,Anugul,Bantala,Anugul,Anugul,Community Health Centre,Bantala,6728864528,
8545,Odisha,Anugul,Bantala,Anugul,Anugul,Health Sub Centre,Badakantakul,2784771244,
8545,Odisha,Anugul,Bantala,Anugul,Anugul,Health Sub Centre,Balanga,2333785745,
8545,Odisha,Anugul,Bantala,Anugul,Anugul,Health Sub Centre,Bantala,5463284645,
8545,Odisha,Anugul,Bantala,Anugul,Anugul,Health Sub Centre,Basala,2885716742,
8545,Odisha,Anugul,Bantala,Anugul,Anugul,Health Sub Centre,Khinda,4728313380,
8545,Odisha,Anugul,Bantala,Anugul,Anugul,Health Sub Centre,Nandapur,6668138289,
8545,Odisha,Anugul,Bantala,Anugul,Anugul,Health Sub Centre,Pokatunga,6451154121,
8545,Odisha,Anugul,Bantala,Anugul,Anugul,Health Sub Centre,Talagarh,7857423185,
8545,Odisha,Anugul,Bantala,Anugul,Anugul,Health Sub Centre,Tumuni,1111643332,
8545,Odisha,Anugul,Bantala,Anugul,Anugul,Primary Health Centre,Banamira,8367767228,
8545,Odisha,Anugul,Chhendipada,Chhendipada,Chhendipada,Community Health Centre,Chhendipada,3882682713,
8545,Odisha,Anugul,Chhendipada,Chhendipada,Chhendipada,Community Health Centre,Kosala,8282723678,
8545,Odisha,Anugul,Chhendipada,Chhendipada,Chhendipada,Health Sub Centre,Bagedia,1681561161,
8545,Odisha,Anugul,Chhendipada,Chhendipada,Chhendipada,Health Sub Centre,Balipata,8337714334,
8545,Odisha,Anugul,Chhendipada,Chhendipada,Chhendipada,Health Sub Centre,Bramanbil,4353543483,
8545,Odisha,Anugul,Chhendipada,Chhendipada,Chhendipada,Health Sub Centre,Chhendipada,6136886436,
8545,Odisha,Anugul,Chhendipada,Chhendipada,Chhendipada,Health Sub Centre,Kampasala,7736775813,
8545,Odisha,Anugul,Chhendipada,Chhendipada,Chhendipada,Health Sub Centre,Kosala,2788172373,
8545,Odisha,Anugul,Chhendipada,Chhendipada,Chhendipada,Health Sub Centre,Machhakuta,7344782227,
8545,Odisha,Anugul,Chhendipada,Chhendipada,Chhendipada,Health Sub Centre,Nuagaon,6728856631,
8545,Odisha,Anugul,Chhendipada,Chhendipada,Chhendipada,Health Sub Centre,Patrapada,8262787560,
8545,Odisha,Anugul,Chhendipada,Chhendipada,Chhendipada,Health Sub Centre,Pattakumunda,7817686533,
8545,Odisha,Anugul,Chhendipada,Chhendipada,Chhendipada,Health Sub Centre,Santrabandha,7511312360,
8545,Odisha,Anugul,Chhendipada,Chhendipada,Chhendipada,Health Sub Centre,Sapoinali,1487248260,
8545,Odisha,Anugul,Chhendipada,Chhendipada,Chhendipada,Health Sub Centre,Tangiri,7237863639,
8545,Odisha,Anugul,Chhendipada,Chhendipada,Chhendipada,Health Sub Centre,Tentuloi,4386675815,
8545,Odisha,Anugul,Chhendipada,Chhendipada,Chhendipada,Primary Health Centre,Bagedia,5251156377,
8545,Odisha,Anugul,Chhendipada,Chhendipada,Chhendipada,Primary Health Centre,Balipata,4385222882,
8545,Odisha,Anugul,Chhendipada,Chhendipada,Chhendipada,Primary Health Centre,Patrapada,6851864642,
8545,Odisha,Anugul,Colliery,Talacher,Talcher,Health Sub Centre,BALANDA,4254823380,
8545,Odisha,Anugul,Colliery,Talacher,Talcher,Health Sub Centre,GOPALPRASAD,2838723639,
8545,Odisha,Anugul,Colliery,Talacher,Talcher,Health Sub Centre,PADMABATIPUR,4338853239,
8545,Odisha,Anugul,Colliery,Talacher,Talcher,Primary Health Centre,Gopalprasad,7488223327,
8545,Odisha,Anugul,Handapa,Kishorenagar,Rajakishorenagar,Health Sub Centre,BADAGOBINDA PUR,8751742779,
8545,Odisha,Anugul,Handapa,Kishorenagar,Rajakishorenagar,Health Sub Centre,Handapa,3424427288,
8545,Odisha,Anugul,Handapa,Kishorenagar,Rajakishorenagar,Health Sub Centre,ICHHAPUR,4733364758,
8545,Odisha,Anugul,Handapa,Kishorenagar,Rajakishorenagar,Health Sub Centre,KHANDABARA,8664178715,
8545,Odisha,Anugul,Handapa,Kishorenagar,Rajakishorenagar,Health Sub Centre,NAKCHI,1854864574,
8545,Odisha,Anugul,Handapa,Kishorenagar,Rajakishorenagar,Health Sub Centre,PERSUMAL,8368647510,
8545,Odisha,Anugul,Handapa,Kishorenagar,Rajakishorenagar,Primary Health Centre,Boinda,4526221611,
8545,Odisha,Anugul,Handapa,Kishorenagar,Rajakishorenagar,Primary Health Centre,Handapa,2283485767,
8545,Odisha,Anugul,Industrial,Banarpal,Banarpal,Health Sub Centre,Badakerjeng,8145684364,
8545,Odisha,Anugul,Industrial,Chhendipada,Chhendipada,Health Sub Centre,Natada,4587416761,
8545,Odisha,Anugul,Industrial,Chhendipada,Chhendipada,Health Sub Centre,Nisha,6717286477,
8545,Odisha,Anugul,Industrial,Chhendipada,Chhendipada,Health Sub Centre,Raijharana,8173765689,
8545,Odisha,Anugul,Industrial,Banarpal,Banarpal,Primary Health Centre,Badakerjeng,1155544131,
8545,Odisha,Anugul,Jarapada,Chhendipada,Chhendipada,Health Sub Centre,Durgapur,1455352227,
8545,Odisha,Anugul,Jarapada,Chhendipada,Chhendipada,Health Sub Centre,Jarpada,7348175469,
8545,Odisha,Anugul,Jarapada,Banarpal,Banarpal,Health Sub Centre,Kanjara,3761738735,
8545,Odisha,Anugul,Jarapada,Chhendipada,Chhendipada,Health Sub Centre,Katada,4684441654,
8545,Odisha,Anugul,Jarapada,Chhendipada,Chhendipada,Health Sub Centre,Kuskila,4883367213,
8545,Odisha,Anugul,Jarapada,Chhendipada,Chhendipada,Health Sub Centre,Para,5478855637,
8545,Odisha,Anugul,Jarapada,Banarpal,Banarpal,Health Sub Centre,Santrapur,3278188325,
8545,Odisha,Anugul,Jarapada,Banarpal,Banarpal,Health Sub Centre,Tubey,2362555225,
8545,Odisha,Anugul,Jarapada,Chhendipada,Chhendipada,Health Sub Centre,Tukuda,4678651748,
8545,Odisha,Anugul,Jarapada,Chhendipada,Chhendipada,Primary Health Centre,Jarpada,1473838231,
8545,Odisha,Anugul,Jarapada,Banarpal,Banarpal,Primary Health Centre,Maratira,6888483887,
8545,Odisha,Anugul,Kaniha,Kaniha,Kaniha,Community Health Centre,Kaniha,3773461771,
8545,Odisha,Anugul,Kaniha,Kaniha,Kaniha,Health Sub Centre,Badagundri,5125853126,
8545,Odisha,Anugul,Kaniha,Kaniha,Kaniha,Health Sub Centre,Derenga,1553516814,
8545,Odisha,Anugul,Kaniha,Kaniha,Kaniha,Health Sub Centre,Kaniha,1318783741,
8545,Odisha,Anugul,Kaniha,Kaniha,Kaniha,Health Sub Centre,Nalam,2427434465,
8545,Odisha,Anugul,Kaniha,Kaniha,Kaniha,Health Sub Centre,Sanatribida,7314177788,
8545,Odisha,Anugul,Kaniha,Kaniha,Kaniha,Primary Health Centre,Bajrakote,1683874265,
8545,Odisha,Anugul,Kaniha,Kaniha,Kaniha,Primary Health Centre,Biru,8283681248,
8545,Odisha,Anugul,Kaniha,Kaniha,Kaniha,Primary Health Centre,Kuluma,5153158257,
8545,Odisha,Anugul,Kaniha,Kaniha,Kaniha,Primary Health Centre,Pabitranagar,3648242281,
8545,Odisha,Anugul,Khamar,Palalahada,Pallahada,Community Health Centre,KHAMAR,5847266821,
8545,Odisha,Anugul,Khamar,Palalahada,Pallahada,Health Sub Centre,Injidi,6484281545,
8545,Odisha,Anugul,Khamar,Palalahada,Pallahada,Health Sub Centre,Jambua,4362745772,
8545,Odisha,Anugul,Khamar,Palalahada,Pallahada,Health Sub Centre,Kantiapasi,8355578280,
8545,Odisha,Anugul,Khamar,Palalahada,Pallahada,Health Sub Centre,Khamar,4424137745,
8545,Odisha,Anugul,Khamar,Palalahada,Pallahada,Health Sub Centre,Kunjam,5127588845,
8545,Odisha,Anugul,Khamar,Palalahada,Pallahada,Health Sub Centre,Ranja,1651361360,
8545,Odisha,Anugul,Khamar,Palalahada,Pallahada,Health Sub Centre,Sankhamur,5377485817,
8545,Odisha,Anugul,Khamar,Palalahada,Pallahada,Health Sub Centre,Siarimalia,8754757717,
8545,Odisha,Anugul,Kiakata,Athmallik,Athamallik,Health Sub Centre,Kiakata,1122423716,
8545,Odisha,Anugul,Kiakata,Athmallik,Athamallik,Health Sub Centre,Tusar,8734565370,
8545,Odisha,Anugul,Kishorenagar,Kishorenagar,Rajakishorenagar,Community Health Centre,RAJKISHORENAGAR,5687542687,
8545,Odisha,Anugul,Kishorenagar,Kishorenagar,Rajakishorenagar,Health Sub Centre,AMBAPAL,3127678443,
8545,Odisha,Anugul,Kishorenagar,Kishorenagar,Rajakishorenagar,Health Sub Centre,ANGAPADA,6173115145,
8545,Odisha,Anugul,Kishorenagar,Kishorenagar,Rajakishorenagar,Health Sub Centre,Bamur,6134384673,
8545,Odisha,Anugul,Kishorenagar,Kishorenagar,Rajakishorenagar,Health Sub Centre,Dohali,8348462618,
8545,Odisha,Anugul,Kishorenagar,Kishorenagar,Rajakishorenagar,Health Sub Centre,HIMITRA,7718464147,
8545,Odisha,Anugul,Kishorenagar,Kishorenagar,Rajakishorenagar,Health Sub Centre,NUNKAPASI,6733838160,
8545,Odisha,Anugul,Kishorenagar,Kishorenagar,Rajakishorenagar,Health Sub Centre,OSKAPALI,8413872667,
8545,Odisha,Anugul,Kishorenagar,Kishorenagar,Rajakishorenagar,Health Sub Centre,RAJKISHORENAGAR,3144521121,
8545,Odisha,Anugul,Kishorenagar,Kishorenagar,Rajakishorenagar,Health Sub Centre,RANIAKATA,8627486551,
8545,Odisha,Anugul,Kishorenagar,Kishorenagar,Rajakishorenagar,Health Sub Centre,SANJAMURA,1883243345,
8545,Odisha,Anugul,Kishorenagar,Kishorenagar,Rajakishorenagar,Primary Health Centre,Angapada,7411521656,
8545,Odisha,Anugul,Nalco,Banarpal,Banarpal,Health Sub Centre,Kulad,3348256748,
8545,Odisha,Anugul,N.T.P.C.,Kaniha,Kaniha,Health Sub Centre,Bijigola,8265116155,
8545,Odisha,Anugul,N.T.P.C.,Kaniha,Kaniha,Health Sub Centre,Gadasila,5663547783,
8545,Odisha,Anugul,Palalahada,Palalahada,Pallahada,Health Sub Centre,Badasada,7166447347,
8545,Odisha,Anugul,Palalahada,Palalahada,Pallahada,Health Sub Centre,Baliposi,6616212350,
8545,Odisha,Anugul,Palalahada,Palalahada,Pallahada,Health Sub Centre,Chasagurujang,4651475883,
8545,Odisha,Anugul,Palalahada,Palalahada,Pallahada,Health Sub Centre,Dimiria,7218851884,
8545,Odisha,Anugul,Palalahada,Palalahada,Pallahada,Health Sub Centre,Itee,4824822722,
8545,Odisha,Anugul,Palalahada,Palalahada,Pallahada,Health Sub Centre,Jamardihi,4551535224,
8545,Odisha,Anugul,Palalahada,Palalahada,Pallahada,Health Sub Centre,Jharbeda,3188577815,
8545,Odisha,Anugul,Palalahada,Palalahada,Pallahada,Health Sub Centre,Nagira,3351665157,
8545,Odisha,Anugul,Palalahada,Palalahada,Pallahada,Health Sub Centre,Pabitrapur,7424518384,
8545,Odisha,Anugul,Palalahada,Palalahada,Pallahada,Health Sub Centre,Saharagarjang,2857758573,
8545,Odisha,Anugul,Palalahada,Palalahada,Pallahada,Health Sub Centre,Saida,8476148310,
8545,Odisha,Anugul,Palalahada,Palalahada,Pallahada,Health Sub Centre,Seegarh,8832278520,
8545,Odisha,Anugul,Palalahada,Palalahada,Pallahada,Primary Health Centre,Chasagurujang,7281766837,
8545,Odisha,Anugul,Palalahada,Palalahada,Pallahada,Primary Health Centre,Jamardihi,1211671464,
8545,Odisha,Anugul,Palalahada,Palalahada,Pallahada,Primary Health Centre,Jharbeda,3681743823,
8545,Odisha,Anugul,Palalahada,Palalahada,Pallahada,Primary Health Centre,Rajadang,8585758561,
8545,Odisha,Anugul,Palalahada,Palalahada,Pallahada,Primary Health Centre,Sahargurujang,8618664240,
8545,Odisha,Anugul,Palalahada,Palalahada,Pallahada,Sub District Hospital,Pallahara,5866658676,
8545,Odisha,Anugul,Purunakot,Anugul,Anugul,Health Sub Centre,Antulia,1113522831,
8545,Odisha,Anugul,Purunakot,Anugul,Anugul,Health Sub Centre,Kothabhuin,7277127788,
8545,Odisha,Anugul,Purunakot,Anugul,Anugul,Health Sub Centre,Purunakote,4777826316,
8545,Odisha,Anugul,Purunakot,Anugul,Anugul,Health Sub Centre,Saradhapur B,7636823580,
8545,Odisha,Anugul,Purunakot,Anugul,Anugul,Health Sub Centre,Tainsi,4438821813,
8545,Odisha,Anugul,Purunakot,Anugul,Anugul,Health Sub Centre,Tikerpada,2681583486,
8545,Odisha,Anugul,Purunakot,Anugul,Anugul,Primary Health Centre,Jagannath Pur,1485843187,
8545,Odisha,Anugul,Purunakot,Anugul,Anugul,Primary Health Centre,Purunakote,7587826715,
8545,Odisha,Anugul,Purunakot,Anugul,Anugul,Primary Health Centre,Tainsi,5544867244,
8545,Odisha,Anugul,Rengali Damsite,Kaniha,Kaniha,Health Sub Centre,Bajrakote,4343467231,
8545,Odisha,Anugul,Rengali Damsite,Kaniha,Kaniha,Health Sub Centre,Balipasi,8246813375,
8545,Odisha,Anugul,Rengali Damsite,Kaniha,Kaniha,Health Sub Centre,Gandhamala,5144886248,
8545,Odisha,Anugul,Rengali Damsite,Kaniha,Kaniha,Health Sub Centre,Kuluma,1521271765,
8545,Odisha,Anugul,Rengali Damsite,Kaniha,Kaniha,Health Sub Centre,Podagarh,4474362334,
8545,Odisha,Anugul,Rengali Damsite,Kaniha,Kaniha,Health Sub Centre,Rengali,2178738668,
8545,Odisha,Anugul,Samal Barrage,Kaniha,Kaniha,Health Sub Centre,Burukuna,6148133884,
8545,Odisha,Anugul,Samal Barrage,Kaniha,Kaniha,Health Sub Centre,Dumduma,3224744767,
8545,Odisha,Anugul,Samal Barrage,Kaniha,Kaniha,Health Sub Centre,Julibandha,4871666857,
8545,Odisha,Anugul,Samal Barrage,Kaniha,Kaniha,Health Sub Centre,Kulei,1377814742,
8545,Odisha,Anugul,Samal Barrage,Kaniha,Kaniha,Health Sub Centre,Parabili,4275787267,
8545,Odisha,Anugul,Samal Barrage,Kaniha,Kaniha,Health Sub Centre,Samal,3626324887,
8545,Odisha,Anugul,Samal Barrage,Kaniha,Kaniha,Health Sub Centre,Seepur,1136116348,
8545,Odisha,Anugul,Talcher Sadar,Talacher,Talcher,Community Health Centre,Godibandha,3654443286,
8545,Odisha,Anugul,Talcher Sadar,Talacher,Talcher,Health Sub Centre,BADAHJORDA,3437832631,
8545,Odisha,Anugul,Talcher Sadar,Talacher,Talcher,Health Sub Centre,Bantol Handidhua,8332827271,
8545,Odisha,Anugul,Talcher Sadar,Talacher,Talcher,Health Sub Centre,DANARA,7324333744,
8545,Odisha,Anugul,Talcher Sadar,Talacher,Talcher,Health Sub Centre,Dera,7447353751,
8545,Odisha,Anugul,Talcher Sadar,Talacher,Talcher,Health Sub Centre,DHARAMPUR,2773783622,
8545,Odisha,Anugul,Talcher Sadar,Talacher,Talcher,Health Sub Centre,FCI,7674426270,
8545,Odisha,Anugul,Talcher Sadar,Talacher,Talcher,Health Sub Centre,GHANTAPADA,4474654532,
8545,Odisha,Anugul,Talcher Sadar,Talacher,Talcher,Health Sub Centre,Gobara,2688475231,
8545,Odisha,Anugul,Talcher Sadar,Talacher,Talcher,Health Sub Centre,GODIBANDHA,2447368560,
8545,Odisha,Anugul,Talcher Sadar,Talacher,Talcher,Health Sub Centre,Gurujanguli Chainpal,6877453560,
8545,Odisha,Anugul,Talcher Sadar,Talacher,Talcher,Health Sub Centre,JILINDA,2623844343,
8545,Odisha,Anugul,Talcher Sadar,Talacher,Talcher,Health Sub Centre,KALAMCHHUIN,3743528766,
8545,Odisha,Anugul,Talcher Sadar,Talacher,Talcher,Health Sub Centre,KANDHALA,7654732440,
8545,Odisha,Anugul,Talcher Sadar,Talacher,Talcher,Health Sub Centre,KANKILI,8274533432,
8545,Odisha,Anugul,Talcher Sadar,Talacher,Talcher,Health Sub Centre,SANTHAPADA,1533312235,
8545,Odisha,Anugul,Talcher Sadar,Talacher,Talcher,Health Sub Centre,Solada,4837561770,
8545,Odisha,Anugul,Talcher Sadar,Talacher,Talcher,Health Sub Centre,TENTULOI,2821722119,
8545,Odisha,Anugul,Talcher Sadar,Talacher,Talcher,Health Sub Centre,THERMAL,6856628349,
8545,Odisha,Anugul,Talcher Sadar,Talacher,Talcher,Primary Health Centre,Kalamchhiun,3766714830,
8545,Odisha,Anugul,Talcher Sadar,Talacher,Talcher,Primary Health Centre,Kankili,1351461353,
8545,Odisha,Anugul,Talcher Sadar,Notmapped,Notmapped,Sub District Hospital,Talcher,8436245859,
8545,Odisha,Anugul,Thakurgarh,Athmallik,Athamallik,Health Sub Centre,Ambasarmunda,7636128840,
8545,Odisha,Anugul,Thakurgarh,Athmallik,Athamallik,Health Sub Centre,Kantapada,2518123555,
8545,Odisha,Anugul,Thakurgarh,Athmallik,Athamallik,Health Sub Centre,Krutibaspur,8666857357,
8545,Odisha,Anugul,Thakurgarh,Athmallik,Athamallik,Health Sub Centre,Pedipathara,2842185841,
8545,Odisha,Anugul,Thakurgarh,Athmallik,Athamallik,Health Sub Centre,Sanahula,2511285351,
8545,Odisha,Anugul,Thakurgarh,Athmallik,Athamallik,Health Sub Centre,Sapaghara,4264856768,
8545,Odisha,Anugul,Thakurgarh,Athmallik,Athamallik,Health Sub Centre,Tapdhol,8237164838,
8545,Odisha,Anugul,Thakurgarh,Athmallik,Athamallik,Health Sub Centre,Thakurgarh,8246148814,
8545,Odisha,Anugul,Thakurgarh,Athmallik,Athamallik,Primary Health Centre,Paikasahi,2257687778,
8545,Odisha,Anugul,Thakurgarh,Athmallik,Athamallik,Primary Health Centre,Thakurgarh,4284536648,
8545,Odisha,Balangir,Balangir,Balangir,Bolangir,Community Health Centre,Chudapali,5111585278,
8545,Odisha,Balangir,Balangir,Puintala,Puintala,Community Health Centre,Jamgaon,6544454678,
8545,Odisha,Balangir,Balangir,Balangir,Notmapped,District Hospital,Balangir DHH,7231883765,
8545,Odisha,Balangir,Balangir,Puintala,Puintala,Health Sub Centre,Ankariapadar,4623454479,
8545,Odisha,Balangir,Balangir,Puintala,Puintala,Health Sub Centre,Atgaon,5411318156,
8545,Odisha,Balangir,Balangir,Puintala,Puintala,Health Sub Centre,Bairasar,7824853530,
8545,Odisha,Balangir,Balangir,Puintala,Puintala,Health Sub Centre,Banabahal,1175516275,
8545,Odisha,Balangir,Balangir,Balangir,Bolangir,Health Sub Centre,BARAPUDUGIA,5238824766,
8545,Odisha,Balangir,Balangir,Puintala,Puintala,Health Sub Centre,Bhaler,2245758780,
8545,Odisha,Balangir,Balangir,Balangir,Bolangir,Health Sub Centre,BHUNDIMUHAN,4387567714,
8545,Odisha,Balangir,Balangir,Puintala,Puintala,Health Sub Centre,Bilaisarda,2455113536,
8545,Odisha,Balangir,Balangir,Puintala,Puintala,Health Sub Centre,Bubel,3535551323,
8545,Odisha,Balangir,Balangir,Balangir,Bolangir,Health Sub Centre,CHANDANVATI,6874431270,
8545,Odisha,Balangir,Balangir,Puintala,Puintala,Health Sub Centre,Chhatamakhana,8527457587,
8545,Odisha,Balangir,Balangir,Puintala,Puintala,Health Sub Centre,Chhatapipal,3686162888,
8545,Odisha,Balangir,Balangir,Balangir,Bolangir,Health Sub Centre,CHUDAPALI,3453186789,
8545,Odisha,Balangir,Balangir,Puintala,Puintala,Health Sub Centre,Daspur,6761588679,
8545,Odisha,Balangir,Balangir,Puintala,Puintala,Health Sub Centre,Durgapali,3147885424,
8545,Odisha,Balangir,Balangir,Puintala,Puintala,Health Sub Centre,Jamgaon,3457885329,
8545,Odisha,Balangir,Balangir,Balangir,Bolangir,Health Sub Centre,JHANKARPALI,8343722370,
8545,Odisha,Balangir,Balangir,Balangir,Bolangir,Health Sub Centre,KHUJENPALI,2881767541,
8545,Odisha,Balangir,Balangir,Loisinga,Loisinga,Health Sub Centre,Kusang,6125565231,
8545,Odisha,Balangir,Balangir,Loisinga,Loisinga,Health Sub Centre,Kusmel,3677642344,
8545,Odisha,Balangir,Balangir,Balangir,Bolangir,Health Sub Centre,MADHIAPALI,2756525214,
8545,Odisha,Balangir,Balangir,Puintala,Puintala,Health Sub Centre,Mahimunda,8438271572,
8545,Odisha,Balangir,Balangir,Puintala,Puintala,Health Sub Centre,Malamunda,6435268682,
8545,Odisha,Balangir,Balangir,Balangir,Bolangir,Health Sub Centre,Manhira,5787284255,
8545,Odisha,Balangir,Balangir,Puintala,Puintala,Health Sub Centre,Mehermunda,6854357438,
8545,Odisha,Balangir,Balangir,Puintala,Puintala,Health Sub Centre,Puintala,1613223716,
8545,Odisha,Balangir,Balangir,Loisinga,Loisinga,Health Sub Centre,Rengali,7436418458,
8545,Odisha,Balangir,Balangir,Balangir,Bolangir,Health Sub Centre,Sadeipali,2218165252,
8545,Odisha,Balangir,Balangir,Balangir,Bolangir,Health Sub Centre,Sahajbahal,8377358554,
8545,Odisha,Balangir,Balangir,Balangir,Bolangir,Health Sub Centre,Sakama,8782156387,
8545,Odisha,Balangir,Balangir,Loisinga,Loisinga,Health Sub Centre,Sargad,2347483261,
8545,Odisha,Balangir,Balangir,Puintala,Puintala,Health Sub Centre,Sauntpur,6466724736,
8545,Odisha,Balangir,Balangir,Balangir,Bolangir,Health Sub Centre,SIKACHIDA,6363563880,
8545,Odisha,Balangir,Balangir,Loisinga,Loisinga,Health Sub Centre,Taliudar,6163257113,
8545,Odisha,Balangir,Balangir,Loisinga,Loisinga,Health Sub Centre,Uparbahal,5156851551,
8545,Odisha,Balangir,Balangir,Loisinga,Loisinga,Primary Health Centre,Badimunda,7818137858,
8545,Odisha,Balangir,Balangir,Balangir,Bolangir,Primary Health Centre,Bhundimuhan,7356364443,
8545,Odisha,Balangir,Balangir,Balangir,Bolangir,Primary Health Centre,Kudasingha,4862143775,
8545,Odisha,Balangir,Balangir,Loisinga,Loisinga,Primary Health Centre,Kusang,8413442735,
8545,Odisha,Balangir,Balangir,Loisinga,Loisinga,Primary Health Centre,Kusmel,5338843567,
8545,Odisha,Balangir,Balangir,Puintala,Puintala,Primary Health Centre,Mahimunda,4767675756,
8545,Odisha,Balangir,Balangir,Puintala,Puintala,Primary Health Centre,MALMUNDA,4283871541,
8545,Odisha,Balangir,Balangir,Balangir,Bolangir,Primary Health Centre,Sibatala,7858822419,
8545,Odisha,Balangir,Balangir,Puintala,Puintala,Primary Health Centre,Thelkomunda,3412221149,
8545,Odisha,Balangir,Balangir,Balangir,Notmapped,UPHC,UPHC Kandhapalipada,1115363812,
8545,Odisha,Balangir,Balangir,Balangir,Notmapped,UPHC,UPHC Sastri Nagar,1115364141,
8545,Odisha,Balangir,Bangomunda,Bangomunda,Bangomunda,Health Sub Centre,BANGOMUNDA,5122653230,
8545,Odisha,Balangir,Bangomunda,Bangomunda,Bangomunda,Health Sub Centre,BHALUMUNDA,4385477130,
